site,nei_site,distance,counts
101732,302473,163,54
101732,403081,160,54
101732,404546,197,54
101732,44085,174,54
101732,9016736,199,54
101732,9024259,175,54
101826,570455,193,74
101830,142260,154,34
101830,301603,198,34
101830,304978,170,34
101830,41133,168,34
101830,50201,176,34
102017,10017350,190,4
102171,305787,188,2
102171,9015647,177,2
102171,9019783,178,2
102174,11581,197,2
102174,135084,178,2
102174,301344,180,2
102174,9001289,150,2
102174,9016669,186,2
102174,9023256,169,2
102174,9024393,151,2
11571,101342,181,12
11571,134822,196,12
11571,206052,197,12
11571,301356,194,12
11571,301382,187,12
11571,302643,191,12
11571,303711,200,12
11571,303713,168,12
11571,304009,170,12
11571,304024,170,12
11571,43439,189,12
11571,9003154,173,12
11571,9003380,196,12
11571,9009373,187,12
11571,9014989,180,12
11571,9017674,160,12
11571,9027615,180,12
11572,101394,150,10
11572,132242,179,10
11572,134574,163,10
11572,134663,180,10
11572,136668,176,10
11572,301088,200,10
11572,301357,185,10
11572,302217,166,10
11572,9004237,165,10
11572,9009803,197,10
11572,9009953,170,10
11572,9013096,179,10
11572,9015991,190,10
11572,9017039,187,10
11572,9018584,176,10
11572,9019334,162,10
11572,9022576,198,10
11572,9023838,190,10
11572,9027341,153,10
11572,9027505,199,10
11573,101521,175,86
11573,134990,158,86
11573,302517,171,86
11573,9004237,168,86
11573,9015484,167,86
11573,9019968,183,86
11573,9021706,156,86
11573,9022769,180,86
11573,9023328,170,86
11573,9023838,198,86
11573,9027341,165,86
11573,9027546,151,86
11579,101351,171,8
11579,101741,158,8
11579,134449,192,8
11579,303710,189,8
11579,303991,172,8
11579,303993,181,8
11579,304002,152,8
11579,43837,197,8
11579,53003,170,8
11579,9002458,200,8
11579,9016706,169,8
11579,9026315,171,8
11581,101351,185,4
11581,102174,197,4
11581,134836,186,4
11581,136513,163,4
11581,303563,159,4
11581,303932,184,4
11581,49535,174,4
11581,9002469,161,4
11581,9002654,176,4
11581,9011095,178,4
11581,9015093,182,4
11581,9018845,168,4
11581,9020126,188,4
