site,nei_site,distance,counts
11603,134909,174,2
11603,302571,161,2
11603,304744,160,2
11603,44126,150,1
11606,,7,99999
11606,301884,172,12
11606,134857,169,6
11606,301348,150,4
11608,,178,99999
11608,300620,200,38
11608,301884,158,12
11608,134857,156,6
11608,301348,163,4
11608,9022867,183,4
11608,304363,170,2
11609,301884,178,12
11609,9022867,160,4
11678,,2,99999
11678,303732,174,2
34490,,2,99999
34490,50677,150,2
34603,,2,99999
34603,50671,155,4
34603,9017674,163,4
34603,135306,158,2
34603,303711,190,2
34603,49991,190,2
34603,51590,180,2
34603,51746,158,2
34603,9008787,170,2
34862,,12,99999
35557,101818,199,12
36210,,41,99999
36210,9003040,177,46
36210,37568,159,41
36210,11594,187,14
36210,303625,163,8
36210,135390,179,2
36210,303719,168,2
36210,51746,197,2
36210,9024203,196,2
36210,137452,156,1
36254,,2,99999
36254,48719,156,2
36254,9020108,160,2
36254,9020110,161,2
36254,9023928,185,2
36267,302854,175,133
36267,135040,168,8
36267,301907,168,4
36267,302923,184,4
36267,304060,186,4
36267,9022747,172,4
36267,205432,163,2
36267,9009843,185,2
36267,9022243,160,2
36267,9027119,155,2
37451,,2,99999
37451,11599,188,223
37451,301882,170,22
37451,301348,161,4
37451,304371,182,4
37451,43837,158,4
37451,134547,158,2
37568,130005,199,114
37568,206081,159,48
37568,9003040,164,46
37568,36210,159,41
37568,304562,182,8
37568,305720,170,6
37568,50672,157,4
37568,135306,184,2
37568,304370,152,2
37789,140609,151,8
38758,302854,172,133
38758,135040,170,8
38758,301907,165,4
38758,302923,183,4
38758,304060,185,4
38758,9022747,170,4
38758,205432,162,2
38758,9009843,182,2
38758,9022243,159,2
38758,9027119,157,2
38812,,36,99999
38812,130439,196,100
38812,101381,169,78
38812,303715,156,10
38812,304994,191,4
38812,403344,185,4
38812,9009843,180,2
38812,9022243,156,2
38812,9023356,156,2
41133,,2,99999
41133,101830,168,34
41133,301244,168,2
41449,,2,99999
41449,50960,193,84
41450,,4,99999
41450,301859,158,94
41450,9023426,196,4
41660,,12,99999
41660,51501,195,61
41660,301356,153,48
41660,134822,150,12
41660,44101,154,6
41660,135009,163,2
41660,43439,197,2
41660,9002988,188,2
41660,9024203,174,2
41660,9024212,177,2
41667,,8,99999
41667,9019783,195,8
41933,101731,175,15
41933,10000022,166,4
41933,11602,182,4
41933,134453,160,4
41933,206078,175,4
41933,305394,177,4
41933,403081,198,4
41933,9024259,177,4
41933,134909,150,2
41933,303685,181,2
41933,44126,199,1
41982,,6,99999
41982,9021309,173,66
41982,9024393,186,4
41982,134303,155,2
41982,135011,180,2
41982,135084,196,2
41982,135143,171,2
41982,304366,180,2
41982,43776,180,2
41982,9024000,174,2
42438,,2,99999
42438,134853,190,80
42462,,8,99999
42462,42955,158,4
42462,9028276,167,2
42639,,8,99999
42639,50649,194,65
42908,135040,185,8
42908,305882,186,8
42908,301243,180,6
42908,49630,181,4
42908,9022747,192,4
42908,135213,168,2
42911,101496,158,88
42940,,2,99999
42940,570478,189,154
42940,9027900,154,4
42955,,4,99999
42955,42462,158,8
42987,,4,99999
42987,101373,181,102
42987,301890,184,6
42987,50682,173,4
42987,135011,158,2
42987,135390,193,2
42987,303719,155,2
42987,304366,200,2
42987,404315,185,2
42987,9011518,154,2
42988,130004,193,43
42988,303677,161,12
42988,134453,190,4
42988,301366,184,4
42988,134360,194,2
42988,135073,156,2
42988,9020134,189,2
43050,101386,153,80
43050,51575,165,60
43050,135253,172,14
43050,135009,188,2
43050,135330,174,2
43050,301383,152,2
43050,43051,158,2
43050,43439,164,2
43050,9026191,159,2
43050,9026611,191,2
43050,9026898,190,2
43050,9027615,171,2
43051,,2,99999
43051,51718,152,105
43051,302517,151,104
43051,9013096,178,40
43051,50678,159,12
43051,9004388,158,8
43051,301898,182,4
43051,303712,190,4
43051,304991,189,4
43051,303846,182,2
43051,47755,152,2
43051,9026191,180,2
43051,48875,179,1
43122,302383,155,78
43122,301342,168,2
43189,,12,99999
43270,,125,99999
43270,9019234,188,125
43283,,6,99999
43284,,1,99999
43284,9024278,173,1
43428,,128,99999
43428,9012994,192,128
43428,141007,180,90
43428,9020107,158,26
43428,304077,165,2
43436,134449,186,183
43436,304364,191,57
43436,101351,182,15
43436,134872,160,12
43436,9017597,186,12
43436,301349,150,6
43436,303710,176,4
43436,50671,177,4
43436,11601,187,2
43436,134923,194,2
43436,9024210,173,2
43439,,2,99999
43439,301356,152,48
43439,11571,189,12
43439,134822,171,12
43439,41660,197,12
43439,9008249,183,10
43439,304991,152,4
43439,303711,200,2
43439,303713,196,2
43439,9002988,160,2
43439,9003380,198,2
