SITE_ID,COUNTS
9021044,386
28492,384
401602,384
9015272,384
9017819,384
9020408,384
133070,382
304267,378
36810,378
9017951,378
9026975,378
700654,377
9000480,376
54740,374
9017944,374
42517,372
9017621,372
19241,370
401649,370
9018787,370
10003352,368
201482,368
9002111,368
9017803,368
9017818,368
9018295,368
19319,366
9019056,366
9013708,365
9014347,365
54742,364
9019130,364
132303,360
134280,360
16830,360
9018190,360
132304,359
9013906,358
570353,354
201251,353
401214,352
132305,351
9019745,351
9022858,351
130274,350
9018477,350
9012107,348
9020331,348
9020337,348
11597,347
18428,346
8024,346
9018139,346
10010569,344
135676,344
9018435,344
600684,343
36811,342
53798,342
9011643,342
9011775,342
100011,338
35010,338
9001951,338
9018263,338
38771,337
9019174,337
401998,336
9015332,336
9017447,336
11984,335
9002933,334
9015643,334
132302,333
700526,333
9580,333
9021696,332
201854,331
9015333,330
9019118,330
6948,326
9020939,326
11869,324
202799,324
9007522,324
9017947,324
9018635,324
250316,323
9018136,322
9022854,321
36715,320
9018108,320
400597,319
203412,318
9010163,318
9017998,318
9018012,318
9018303,318
12013,316
131265,316
9015655,316
9018827,316
19238,315
134271,314
206040,314
9007530,314
9018137,314
9019722,314
9022860,314
130247,312
9018141,312
9021010,312
9023045,312
34814,311
700405,310
9015377,310
9017727,310
9020619,310
9020802,310
17719,309
10006971,308
6554,308
9017429,308
9018808,308
9018921,308
9019464,308
51170,307
131923,306
204336,306
9018640,306
9023044,306
55608,305
201253,304
8540,304
9019133,304
9017654,302
304526,300
9009880,300
9017513,300
201005,299
134506,298
9018815,298
700786,296
9017667,296
9019195,296
9023300,296
10016523,294
204374,294
9017729,292
9020940,292
9020945,292
12074,290
9013584,290
9021401,290
130362,288
9011235,288
305411,286
9021697,286
100618,284
9011277,284
9018142,284
9018844,284
9019169,284
9019649,284
9020496,284
9021051,284
9021187,284
9026748,284
9022835,283
9017640,282
9023462,282
150286,281
9017669,280
9018820,280
9019357,280
9019584,280
131105,279
22300,278
9019210,278
150676,277
250491,277
10003344,276
10011249,276
280165,276
8922,276
9018191,276
9018361,276
301306,274
700828,274
9017432,274
301316,272
303456,272
9012154,272
9012373,272
9019665,272
9878,271
280081,270
36771,270
9017458,270
9018835,270
11596,268
131201,266
9019106,266
9019408,266
9019766,266
9023466,266
13300,264
9010427,264
9018438,264
9018919,264
9019843,264
9020806,264
9021041,264
9018278,263
304298,262
9008556,262
9018768,262
9018917,262
9019065,262
9021285,262
11717,261
51096,261
9017277,260
9018918,260
9022816,260
9021048,259
202230,258
36214,258
9012127,258
9017726,258
9017941,258
9020336,258
401317,257
5838,257
12016,256
132509,256
9018134,256
9000862,254
9020527,254
9021143,254
36767,253
9100,253
101426,252
502063,252
54736,252
9013311,252
198029,250
37916,250
9007560,250
9018439,250
9019764,250
33030,248
400927,248
53560,248
9011005,248
9015382,248
9017668,248
9018296,248
9018479,248
9018819,248
9023806,248
9026877,248
9017149,247
14614,246
27391,246
36223,246
51791,246
9012966,246
9017800,246
9017879,246
9017916,246
9018415,246
9018737,246
9020549,246
9020844,246
9021775,246
9021933,246
9026974,246
21349,244
27915,244
603123,244
9015293,244
9018593,244
9019533,244
9019746,244
36757,243
10723,242
305241,242
305458,242
9011074,242
9011661,242
9015379,242
9018731,242
9019460,242
9019466,242
9020942,242
9024181,242
13417,240
9015326,240
9018620,240
9021286,240
10000394,238
10008366,238
10712,238
153239,238
204824,238
9017805,238
9019313,238
9020334,238
9021056,238
9026915,238
133230,236
20530,236
300473,236
9010597,236
9015273,236
9015381,236
9017811,236
9018195,236
9018639,236
9019676,236
9020551,236
131865,235
9022914,235
100996,234
101460,234
133082,234
305346,234
9007570,234
9012034,234
9017608,234
9018193,234
9018616,234
9019136,234
9022063,234
10003298,232
26194,232
302625,232
400521,232
400892,232
9015380,232
9017434,232
9017809,232
9018810,232
9020852,232
9023042,232
9464,232
53639,231
202794,230
700325,230
9015329,230
9017441,230
9020857,230
9021046,230
9021486,230
12232,228
16851,228
51046,228
9017444,228
9017672,228
9017804,228
9020326,228
202140,227
9001331,227
280250,226
9012884,226
9017147,226
9017666,226
9017731,226
9022913,226
9026399,226
11287,225
35030,225
10007625,224
133047,224
19403,224
22157,224
9015275,224
9015654,224
9018074,224
9018772,224
9018940,224
9018941,224
9019064,224
9019127,224
9019252,224
9020323,224
10014657,223
11599,223
9013475,222
9015653,222
9017451,222
9018809,222
9018871,222
9020621,222
9021448,222
9022488,222
9023463,222
5782,221
9013097,221
10000285,220
101275,220
11640,220
201214,220
280099,220
36685,220
9007407,220
9008426,220
9017661,220
9019470,220
16440,219
400671,219
40637,219
51943,218
