site,nei_site,distance
101394,11573,117
101394,132242,111
101394,132314,179
101394,133371,128
101394,134454,103
101394,134574,104
101394,134680,145
101394,134901,176
101394,134906,135
101394,137823,157
101394,199023,186
101394,206055,141
101394,301353,188
101394,301357,131
101394,301893,159
101394,301895,176
101394,302217,145
101394,303121,195
101394,303255,156
101394,303721,141
101394,304011,172
101394,404057,89
101394,49873,157
101394,9004388,185
101394,9009845,194
101394,9013096,77
101394,9015484,200
101394,9018584,191
101394,9020558,141
101394,9020794,185
101394,9021525,154
101394,9022769,159
101394,9023124,125
101394,9023838,133
101394,9026935,168
101406,101386,173
101406,11575,106
101406,135253,121
101406,135330,198
101406,141482,162
101406,142163,129
101406,206052,190
101406,300467,175
101406,301383,140
101406,301898,112
101406,303712,132
101406,303846,96
101406,304026,51
101406,304028,120
101406,304032,166
101406,304434,134
101406,43050,60
101406,43051,103
101406,47755,121
101406,48875,117
101406,49119,56
101406,50678,107
101406,51575,150
101406,51622,144
101406,51718,95
101406,53115,91
101406,9007285,101
101406,9008249,64
101406,9010789,30
101406,9015484,162
101406,9019968,147
101406,9021535,171
101406,9022766,70
101406,9022769,179
101406,9023328,166
101406,9026146,151
101406,9026191,130
101406,9026970,186
101406,9028229,140
101407,301646,56
101407,301859,71
101407,302637,140
101407,303037,56
101407,303848,61
101407,41450,98
101413,101637,97
101413,134386,129
101413,135330,198
101413,206052,166
101413,300467,135
101413,301382,81
101413,301386,143
101413,301645,117
101413,302643,79
101413,303713,101
101413,303726,138
101413,303861,124
101413,304032,136
101413,304035,113
101413,404784,139
101413,404802,35
101413,50488,28
101413,52007,193
101413,9002988,140
101413,9003380,77
101413,9004238,178
101413,9013748,178
101413,9014605,59
101413,9014989,93
101413,9015666,180
101413,9024212,162
101413,9026611,69
101413,9026898,58
101413,9027615,130
101413,9028229,197
101418,101637,139
101418,132959,146
101418,134386,102
101418,135330,120
101418,138060,192
101418,300467,185
101418,301386,88
101418,301388,156
101418,301645,163
101418,302029,163
101418,303676,125
101418,303726,90
101418,303861,186
101418,304046,161
101418,304990,159
101418,404784,130
101418,44125,178
101418,49639,189
101418,52007,36
101418,9003148,148
101418,9010884,145
101418,9013748,114
101418,9014185,78
101418,9017201,65
101418,9018291,55
101418,9022120,168
101418,9024831,100
101418,9026611,180
101418,9026898,197
101418,9027890,52
101418,9028157,167
101418,9028229,182
101496,11588,34
101496,130989,196
101496,131376,195
101496,301243,143
101496,301912,75
101496,302923,188
101496,303678,15
101496,304060,170
101496,305882,143
101496,42911,158
101496,50970,155
101496,51591,151
101496,9024278,83
101521,101394,81
101521,11573,175
101521,11575,198
101521,130005,187
101521,132242,98
101521,132314,178
101521,133371,147
101521,134454,162
101521,134574,103
101521,134680,112
101521,134901,142
101521,134906,150
101521,137823,195
101521,206055,155
101521,301357,117
101521,301893,117
101521,302217,148
101521,303121,135
101521,303255,129
101521,304991,125
101521,404057,136
101521,49993,139
101521,9013096,60
101521,9015484,183
101521,9019968,197
101521,9020558,131
101521,9022424,177
101521,9022640,192
101521,9022769,113
101521,9023838,197
101579,130989,80
101579,135213,162
101579,142063,62
101579,301243,179
101579,301414,116
101579,301910,63
101579,304059,102
101579,304368,68
101579,304993,198
101579,403081,146
101579,404646,134
101579,44014,101
101579,44085,119
101579,47316,38
101579,50226,52
101579,9008334,162
101579,9022094,182
101579,9026308,64
101636,134303,128
101636,135011,30
101636,135045,159
101636,135143,179
101636,137270,186
101636,140407,118
101636,141170,50
101636,142445,64
101636,142446,59
101636,301529,168
101636,301885,156
101636,302516,142
101636,302591,152
101636,303992,101
101636,304366,97
101636,304374,80
101636,306014,135
101636,42987,132
101636,47317,80
101636,50682,99
101636,9002498,152
101636,9011518,182
101636,9013618,105
101636,9016785,133
101636,9021374,195
101636,9022771,144
101636,9023347,164
101636,9023879,179
101636,9026103,189
101637,101413,97
101637,101418,139
101637,134386,37
101637,135330,155
101637,300467,142
101637,301382,179
101637,301386,50
101637,301645,50
101637,302643,176
101637,303713,197
101637,303726,54
